Purchase Transaction ID,Purchase_DATEID,Ship Mode,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Type
7399,5/16/2022,Standard Class,East,Office Supplies,Art,86.304,6,0.2,9.7092,Standard Class - Consumer
7400,8/17/2022,Standard Class,East,Office Supplies,Binders,6.858,6,0.7,-5.715,Standard Class - Consumer
7401,12/18/2022,Standard Class,East,Office Supplies,Art,15.76,2,0.2,3.546,Standard Class - Consumer
7402,9/25/2022,Second Class,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,Second Class - Home Office
7403,9/7/2022,First Class,Central,Technology,Phones,1097.544,7,0.2,123.4737,First Class - Corporate
7404,7/25/2022,First Class,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,First Class - Corporate
7405,12/13/2022,Standard Class,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,Standard Class - Home Office
7406,12/13/2022,Standard Class,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,Standard Class - Home Office
7407,12/16/2022,Standard Class,Central,Furniture,Chairs,212.058,3,0.3,-15.147,Standard Class - Home Office
7408,4/1/2022,Standard Class,Central,Technology,Phones,371.168,4,0.2,41.7564,Standard Class - Home Office
7409,12/15/2022,Standard Class,Central,Technology,Phones,147.168,4,0.2,16.5564,Standard Class - Corporate
7410,8/7/2022,Standard Class,West,Office Supplies,Storage,77.88,2,0,3.894,Standard Class - Corporate
7411,7/31/2022,Standard Class,South,Office Supplies,Storage,95.616,2,0.2,9.5616,Standard Class - Corporate
7412,10/13/2022,First Class,Central,Technology,Accessories,45.98,2,0,19.7714,First Class - Corporate
7413,3/9/2022,First Class,Central,Office Supplies,Binders,17.46,2,0,8.2062,First Class - Corporate
7414,3/18/2022,Second Class,Central,Office Supplies,Storage,211.96,4,0,8.4784,Second Class - Consumer
7415,3/14/2022,Standard Class,East,Technology,Accessories,45,3,0,4.95,Standard Class - Consumer
7416,1/17/2022,Standard Class,East,Technology,Phones,21.8,2,0,6.104,Standard Class - Consumer
7417,7/1/2022,Standard Class,Central,Office Supplies,Binders,38.22,6,0,17.9634,Standard Class - Consumer
7418,5/8/2022,Standard Class,Central,Office Supplies,Labels,75.18,6,0,35.3346,Standard Class - Consumer
7419,8/16/2022,Standard Class,Central,Furniture,Furnishings,6.16,2,0,2.9568,Standard Class - Consumer
7420,4/5/2022,Standard Class,Central,Furniture,Chairs,89.99,1,0,17.0981,Standard Class - Consumer
7421,7/19/2022,Standard Class,East,Office Supplies,Fasteners,15.26,7,0,6.2566,Standard Class - Corporate
7422,12/16/2022,Standard Class,East,Technology,Phones,1029.95,5,0,298.6855,Standard Class - Corporate
7423,4/7/2022,First Class,East,Office Supplies,Storage,208.56,6,0,52.14,First Class - Consumer
7424,3/8/2022,First Class,East,Office Supplies,Paper,32.4,5,0,15.552,First Class - Consumer
7425,11/14/2022,First Class,East,Furniture,Chairs,319.41,5,0.1,7.098,First Class - Consumer
7426,12/26/2022,First Class,East,Office Supplies,Paper,14.56,2,0,6.9888,First Class - Consumer
7427,1/24/2022,First Class,East,Technology,Accessories,30,2,0,3.3,First Class - Consumer
7428,2/17/2022,First Class,East,Office Supplies,Binders,48.48,4,0.2,16.362,First Class - Consumer
7429,12/12/2022,First Class,East,Office Supplies,Art,1.68,1,0,0.84,First Class - Consumer
7430,2/2/2022,Standard Class,West,Technology,Accessories,13.98,2,0,6.1512,Standard Class - Consumer
7431,6/17/2022,Standard Class,West,Office Supplies,Binders,25.824,6,0.2,9.3612,Standard Class - Consumer
7432,7/16/2022,Standard Class,West,Office Supplies,Paper,146.73,3,0,68.9631,Standard Class - Consumer
7433,8/28/2022,Standard Class,West,Furniture,Furnishings,79.76,4,0,22.3328,Standard Class - Consumer
7434,10/13/2022,Standard Class,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,Standard Class - Home Office
7435,9/18/2022,Standard Class,West,Office Supplies,Art,1113.024,8,0.2,111.3024,Standard Class - Corporate
7436,5/13/2022,Standard Class,West,Technology,Phones,167.968,4,0.2,62.988,Standard Class - Corporate
7437,10/23/2022,First Class,South,Office Supplies,Paper,75.88,2,0,35.6636,First Class - Consumer
7438,8/2/2022,Standard Class,East,Office Supplies,Binders,4.616,1,0.2,1.731,Standard Class - Consumer
7439,7/4/2022,Second Class,Central,Office Supplies,Paper,19.05,3,0,8.763,Second Class - Consumer
7440,1/7/2022,Standard Class,South,Furniture,Chairs,831.936,8,0.2,-114.3912,Standard Class - Consumer
7441,3/21/2022,Standard Class,South,Furniture,Furnishings,97.04,2,0.2,1.213,Standard Class - Consumer
7442,4/2/2022,Standard Class,South,Office Supplies,Storage,72.784,1,0.2,-18.196,Standard Class - Consumer
7443,8/5/2022,First Class,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,First Class - Corporate
7444,6/11/2022,First Class,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,First Class - Corporate
7445,8/4/2022,First Class,Central,Office Supplies,Storage,27.24,3,0.2,2.724,First Class - Corporate
7446,12/24/2022,Second Class,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,Second Class - Consumer
7447,2/13/2022,First Class,South,Office Supplies,Appliances,208.16,1,0,56.2032,First Class - Corporate
7448,1/27/2022,First Class,South,Office Supplies,Binders,16.74,3,0,8.0352,First Class - Corporate
7449,2/20/2022,Standard Class,West,Office Supplies,Art,14.9,5,0,4.172,Standard Class - Consumer
7450,1/7/2022,Standard Class,West,Office Supplies,Storage,21.39,1,0,6.2031,Standard Class - Consumer
7451,10/6/2022,Standard Class,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,Standard Class - Corporate
7452,4/27/2022,First Class,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,First Class - Home Office
7453,8/29/2022,Second Class,South,Furniture,Chairs,301.96,2,0,33.2156,Second Class - Consumer
7454,3/12/2022,Standard Class,Central,Technology,Accessories,19.99,1,0,6.7966,Standard Class - Consumer
7455,12/5/2022,Standard Class,Central,Office Supplies,Labels,6.16,2,0,2.9568,Standard Class - Consumer
7456,10/18/2022,Second Class,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,Second Class - Home Office
7457,9/22/2022,Standard Class,West,Office Supplies,Art,20.1,3,0,6.633,Standard Class - Corporate
7458,1/16/2022,Standard Class,West,Technology,Phones,73.584,2,0.2,8.2782,Standard Class - Corporate
7459,1/22/2022,Standard Class,West,Office Supplies,Paper,6.48,1,0,3.1104,Standard Class - Corporate
7460,6/5/2022,Second Class,Central,Office Supplies,Paper,12.96,2,0,6.2208,Second Class - Consumer
7461,8/16/2022,Second Class,Central,Furniture,Furnishings,53.34,3,0,16.5354,Second Class - Consumer
7462,8/31/2022,Second Class,Central,Office Supplies,Binders,32.96,2,0,16.1504,Second Class - Consumer
7463,5/28/2022,Standard Class,West,Office Supplies,Binders,5.682,1,0.7,-3.788,Standard Class - Home Office
7464,1/26/2022,Second Class,East,Furniture,Furnishings,96.53,7,0,40.5426,Second Class - Home Office
7465,10/16/2022,First Class,West,Office Supplies,Binders,51.312,3,0.2,17.9592,First Class - Consumer
7466,11/29/2022,Standard Class,Central,Office Supplies,Appliances,77.88,6,0,22.5852,Standard Class - Corporate
7467,5/5/2022,Standard Class,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,Standard Class - Home Office
7468,12/2/2022,Standard Class,Central,Technology,Accessories,95.976,3,0.2,-10.7973,Standard Class - Home Office
7469,7/26/2022,Standard Class,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,Standard Class - Home Office
7470,4/18/2022,Second Class,Central,Office Supplies,Paper,23.92,4,0,11.7208,Second Class - Consumer
7471,3/6/2022,Standard Class,West,Technology,Accessories,238.896,6,0.2,-26.8758,Standard Class - Consumer
7472,8/3/2022,Standard Class,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,Standard Class - Consumer
7473,10/23/2022,Standard Class,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,Standard Class - Consumer
7474,1/12/2022,Standard Class,South,Technology,Accessories,74.112,8,0.2,17.6016,Standard Class - Consumer
7475,7/9/2022,Standard Class,South,Technology,Phones,27.992,1,0.2,2.0994,Standard Class - Consumer
7476,2/6/2022,Standard Class,South,Office Supplies,Art,3.304,1,0.2,1.0738,Standard Class - Consumer
7477,8/10/2022,Standard Class,Central,Technology,Accessories,339.96,5,0.2,67.992,Standard Class - Home Office
7478,11/7/2022,Standard Class,East,Furniture,Furnishings,41.96,2,0,10.9096,Standard Class - Corporate
7479,5/24/2022,Standard Class,Central,Office Supplies,Art,75.96,2,0,22.788,Standard Class - Consumer
7480,10/25/2022,Standard Class,Central,Office Supplies,Binders,27.24,6,0,13.3476,Standard Class - Consumer
7481,6/10/2022,Second Class,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,Second Class - Consumer
7482,7/14/2022,Second Class,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,Second Class - Consumer
7483,11/3/2022,Second Class,East,Office Supplies,Paper,23.976,3,0.2,7.4925,Second Class - Consumer
7484,8/1/2022,Second Class,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,Second Class - Consumer
7485,9/7/2022,Standard Class,West,Furniture,Tables,787.53,3,0,165.3813,Standard Class - Consumer
7486,9/24/2022,Standard Class,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,Standard Class - Corporate
7487,3/28/2022,First Class,East,Furniture,Furnishings,47.04,3,0,18.3456,First Class - Consumer
7488,7/8/2022,First Class,East,Office Supplies,Binders,30.84,4,0,13.878,First Class - Consumer
7489,3/30/2022,First Class,East,Office Supplies,Storage,226.56,6,0,63.4368,First Class - Consumer
7490,12/13/2022,First Class,East,Office Supplies,Envelopes,115.02,9,0,51.759,First Class - Consumer
7491,1/23/2022,First Class,East,Technology,Phones,68.04,7,0,19.7316,First Class - Consumer
7492,11/15/2022,Second Class,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,Second Class - Home Office
7493,1/21/2022,Standard Class,Central,Furniture,Tables,617.7,6,0.5,-407.682,Standard Class - Consumer
7494,7/17/2022,Standard Class,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,Standard Class - Consumer
7495,2/3/2022,Standard Class,West,Office Supplies,Storage,243.992,7,0.2,30.499,Standard Class - Consumer
7496,11/11/2022,Second Class,West,Furniture,Chairs,81.424,2,0.2,-9.1602,Second Class - Home Office
7497,3/16/2022,Second Class,West,Furniture,Furnishings,238.56,3,0,26.2416,Second Class - Home Office
7498,6/11/2022,First Class,East,Technology,Phones,59.97,5,0.4,-11.994,First Class - Corporate
7499,12/14/2022,First Class,East,Office Supplies,Paper,78.304,2,0.2,29.364,First Class - Corporate
7500,3/31/2022,First Class,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,First Class - Corporate
7501,5/29/2022,Standard Class,West,Office Supplies,Paper,20.04,3,0,9.6192,Standard Class - Consumer
7502,6/2/2022,Standard Class,West,Office Supplies,Paper,35.44,1,0,16.6568,Standard Class - Consumer
7503,5/24/2022,Standard Class,West,Office Supplies,Art,11.52,4,0,3.456,Standard Class - Consumer
7504,3/20/2022,Standard Class,West,Office Supplies,Fasteners,4.02,2,0,1.9698,Standard Class - Consumer
7505,12/17/2022,Standard Class,West,Office Supplies,Binders,76.176,3,0.2,26.6616,Standard Class - Consumer
7506,1/1/2022,Standard Class,West,Office Supplies,Supplies,65.88,6,0,18.4464,Standard Class - Consumer
7507,4/16/2022,Standard Class,West,Furniture,Furnishings,43.12,14,0,20.6976,Standard Class - Consumer
7508,5/10/2022,Second Class,East,Furniture,Furnishings,82.8,2,0.2,10.35,Second Class - Corporate
7509,3/30/2022,Standard Class,West,Office Supplies,Art,8.82,3,0,2.3814,Standard Class - Corporate
7510,1/31/2022,Standard Class,West,Office Supplies,Envelopes,10.86,3,0,5.1042,Standard Class - Corporate
7511,9/12/2022,Standard Class,West,Office Supplies,Paper,143.7,3,0,68.976,Standard Class - Corporate
7512,3/28/2022,Standard Class,Central,Office Supplies,Appliances,839.43,3,0,218.2518,Standard Class - Consumer
7513,12/2/2022,Standard Class,West,Office Supplies,Storage,671.93,7,0,20.1579,Standard Class - Consumer
7514,11/6/2022,Standard Class,East,Furniture,Furnishings,93.888,4,0.2,12.9096,Standard Class - Home Office
7515,4/25/2022,Standard Class,Central,Technology,Phones,384.45,11,0,103.8015,Standard Class - Corporate
7516,7/10/2022,Standard Class,Central,Technology,Phones,149.97,3,0,5.9988,Standard Class - Corporate
7517,8/22/2022,Standard Class,Central,Furniture,Chairs,1951.84,8,0,585.552,Standard Class - Corporate
7518,7/26/2022,Standard Class,Central,Office Supplies,Binders,171.55,5,0,80.6285,Standard Class - Corporate
7519,12/27/2022,First Class,West,Office Supplies,Appliances,157.92,5,0.2,17.766,First Class - Home Office
7520,7/30/2022,First Class,West,Technology,Phones,203.184,2,0.2,15.2388,First Class - Home Office
7521,12/6/2022,First Class,West,Office Supplies,Paper,58.38,7,0,26.271,First Class - Corporate
7522,8/13/2022,First Class,West,Office Supplies,Paper,105.52,4,0,48.5392,First Class - Corporate
7523,5/3/2022,First Class,West,Office Supplies,Storage,80.88,6,0,21.0288,First Class - Corporate
7524,10/26/2022,Standard Class,West,Office Supplies,Art,6.63,3,0,1.7901,Standard Class - Home Office
7525,4/29/2022,Second Class,West,Furniture,Chairs,457.568,2,0.2,51.4764,Second Class - Consumer
7526,10/31/2022,Standard Class,Central,Office Supplies,Labels,14.62,2,0,6.8714,Standard Class - Consumer
7527,8/19/2022,Standard Class,Central,Technology,Phones,944.93,7,0,236.2325,Standard Class - Consumer
7528,4/25/2022,First Class,West,Office Supplies,Paper,5.98,1,0,2.691,First Class - Consumer
7529,1/1/2022,Second Class,East,Technology,Accessories,54.384,2,0.2,1.3596,Second Class - Consumer
7530,1/24/2022,Standard Class,West,Office Supplies,Envelopes,28.4,5,0,13.348,Standard Class - Consumer
7531,3/4/2022,Standard Class,West,Office Supplies,Binders,27.68,2,0.2,9.688,Standard Class - Consumer
7532,2/10/2022,Standard Class,Central,Office Supplies,Art,9.936,3,0.2,2.7324,Standard Class - Consumer
7533,11/30/2022,Standard Class,Central,Technology,Machines,8159.952,8,0.4,-1359.992,Standard Class - Consumer
7534,12/17/2022,Standard Class,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,Standard Class - Consumer
7535,12/16/2022,Standard Class,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,Standard Class - Consumer
7536,5/21/2022,Standard Class,Central,Office Supplies,Art,32.064,6,0.2,6.8136,Standard Class - Consumer
7537,8/27/2022,Standard Class,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,Standard Class - Consumer
7538,12/15/2022,Standard Class,Central,Technology,Phones,143.976,3,0.2,8.9985,Standard Class - Consumer
7539,10/8/2022,Standard Class,West,Office Supplies,Paper,20.94,3,0,9.8418,Standard Class - Consumer
7540,10/2/2022,Standard Class,West,Office Supplies,Paper,110.96,2,0,53.2608,Standard Class - Consumer
7541,5/14/2022,Standard Class,West,Furniture,Chairs,340.144,7,0.2,21.259,Standard Class - Consumer
7542,9/22/2022,Standard Class,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,Standard Class - Corporate
7543,3/21/2022,Standard Class,Central,Office Supplies,Labels,20.16,4,0.2,6.552,Standard Class - Corporate
7544,12/20/2022,Second Class,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,Second Class - Consumer
7545,10/4/2022,Second Class,East,Furniture,Chairs,396.802,7,0.3,-11.3372,Second Class - Consumer
7546,6/10/2022,Second Class,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,Second Class - Consumer
7547,10/30/2022,Standard Class,East,Office Supplies,Art,3.28,1,0,1.4104,Standard Class - Home Office
7548,11/22/2022,Second Class,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,Second Class - Corporate
7549,4/8/2022,Second Class,Central,Technology,Accessories,408.744,7,0.2,76.6395,Second Class - Corporate
7550,11/11/2022,Second Class,South,Technology,Phones,503.96,4,0,131.0296,Second Class - Home Office
7551,4/30/2022,Second Class,South,Technology,Phones,149.95,5,0,41.986,Second Class - Home Office
7552,11/30/2022,Second Class,South,Technology,Accessories,29,2,0,7.25,Second Class - Home Office
7553,2/23/2022,Standard Class,East,Office Supplies,Binders,7.16,2,0,3.4368,Standard Class - Consumer
7554,10/9/2022,Standard Class,West,Technology,Accessories,176.8,8,0,22.984,Standard Class - Home Office
7555,11/13/2022,Standard Class,Central,Office Supplies,Storage,37.224,3,0.2,3.7224,Standard Class - Corporate
7556,6/6/2022,Standard Class,Central,Office Supplies,Paper,20.016,3,0.2,6.255,Standard Class - Corporate
7557,11/11/2022,First Class,East,Furniture,Bookcases,899.136,4,0.2,112.392,First Class - Home Office
7558,10/24/2022,First Class,East,Technology,Phones,71.76,6,0,20.0928,First Class - Home Office
7559,4/20/2022,First Class,East,Office Supplies,Paper,51.84,8,0,24.8832,First Class - Home Office
7560,11/4/2022,First Class,East,Furniture,Bookcases,626.352,3,0.2,46.9764,First Class - Home Office
7561,6/28/2022,First Class,East,Office Supplies,Art,19.9,5,0,6.567,First Class - Home Office
7562,7/7/2022,Standard Class,West,Office Supplies,Envelopes,14.28,7,0,6.7116,Standard Class - Corporate
7563,11/1/2022,Standard Class,East,Office Supplies,Art,7.408,2,0.2,1.2038,Standard Class - Consumer
7564,12/14/2022,Standard Class,East,Office Supplies,Art,6.048,3,0.2,1.5876,Standard Class - Consumer
7565,6/23/2022,Standard Class,East,Office Supplies,Storage,46.26,3,0,12.0276,Standard Class - Home Office
7566,7/31/2022,Standard Class,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,Standard Class - Corporate
7567,7/15/2022,Standard Class,East,Office Supplies,Paper,16.056,3,0.2,5.8203,Standard Class - Corporate
7568,5/8/2022,Standard Class,East,Office Supplies,Paper,21.744,3,0.2,6.795,Standard Class - Consumer
7569,7/5/2022,First Class,West,Furniture,Tables,218.75,2,0.5,-161.875,First Class - Consumer
7570,4/7/2022,First Class,West,Office Supplies,Appliances,2.6,1,0.2,0.2925,First Class - Consumer
7571,12/17/2022,Second Class,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668,Second Class - Consumer
7572,3/28/2022,Standard Class,South,Furniture,Furnishings,35.168,7,0.2,9.6712,Standard Class - Corporate
7573,6/14/2022,Standard Class,West,Technology,Phones,444.768,4,0.2,44.4768,Standard Class - Consumer
7574,2/28/2022,Standard Class,Central,Office Supplies,Storage,83.92,4,0,5.8744,Standard Class - Consumer
7575,9/7/2022,Standard Class,Central,Technology,Phones,131.98,2,0,35.6346,Standard Class - Consumer
7576,7/3/2022,Standard Class,Central,Office Supplies,Binders,15.92,4,0,7.4824,Standard Class - Consumer
7577,9/14/2022,Standard Class,Central,Office Supplies,Fasteners,52.29,9,0,16.2099,Standard Class - Consumer
7578,10/30/2022,Standard Class,Central,Office Supplies,Storage,91.99,1,0,3.6796,Standard Class - Consumer
7579,10/3/2022,Second Class,Central,Technology,Accessories,20.8,2,0.2,6.5,Second Class - Corporate
7580,2/26/2022,Standard Class,East,Office Supplies,Labels,23.68,2,0.2,8.88,Standard Class - Corporate
7581,3/2/2022,Standard Class,East,Furniture,Bookcases,452.45,5,0.5,-244.323,Standard Class - Corporate
7582,4/29/2022,Standard Class,East,Technology,Phones,62.982,3,0.4,-14.6958,Standard Class - Corporate
7583,8/28/2022,Standard Class,East,Technology,Machines,1188,9,0.7,-950.4,Standard Class - Corporate
7584,1/24/2022,Standard Class,East,Technology,Accessories,89.584,2,0.2,4.4792,Standard Class - Corporate
7585,7/6/2022,Standard Class,West,Office Supplies,Storage,93.06,6,0,26.0568,Standard Class - Consumer
7586,2/10/2022,Standard Class,West,Technology,Phones,302.376,3,0.2,22.6782,Standard Class - Consumer
7587,9/12/2022,First Class,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148,First Class - Consumer
7588,12/14/2022,First Class,East,Office Supplies,Paper,22.704,6,0.2,8.2302,First Class - Consumer
7589,4/7/2022,First Class,East,Office Supplies,Binders,19.776,4,0.7,-13.8432,First Class - Consumer
7590,2/6/2022,First Class,East,Furniture,Furnishings,72.704,4,0.2,19.0848,First Class - Consumer
7591,2/15/2022,First Class,East,Technology,Machines,479.988,4,0.7,-383.9904,First Class - Consumer
7592,11/15/2022,First Class,East,Office Supplies,Art,27.168,2,0.2,2.7168,First Class - Consumer
7593,12/31/2022,Standard Class,Central,Office Supplies,Art,2.2,1,0,0.968,Standard Class - Corporate
7594,4/22/2022,Standard Class,Central,Furniture,Tables,622.45,5,0,136.939,Standard Class - Corporate
7595,8/15/2022,Standard Class,Central,Office Supplies,Storage,21.98,1,0,0.2198,Standard Class - Corporate
7596,6/7/2022,Standard Class,South,Furniture,Chairs,161.568,2,0.2,-28.2744,Standard Class - Consumer
7597,12/7/2022,Standard Class,South,Furniture,Chairs,389.696,8,0.2,43.8408,Standard Class - Consumer
7598,11/28/2022,Standard Class,South,Office Supplies,Binders,18.648,7,0.7,-12.432,Standard Class - Corporate
7599,9/14/2022,Standard Class,South,Furniture,Tables,233.86,2,0.45,-102.048,Standard Class - Home Office
7600,11/27/2022,Standard Class,South,Furniture,Tables,620.6145,3,0.45,-248.2458,Standard Class - Home Office
7601,1/1/2022,Standard Class,South,Office Supplies,Binders,5.328,2,0.7,-3.552,Standard Class - Home Office
7602,7/3/2022,Standard Class,South,Furniture,Furnishings,258.072,3,0.2,0,Standard Class - Home Office
7603,7/18/2022,Standard Class,South,Technology,Accessories,617.976,3,0.2,-7.7247,Standard Class - Home Office
7604,2/13/2022,Standard Class,West,Office Supplies,Paper,10.56,2,0,4.752,Standard Class - Corporate
7605,12/14/2022,Second Class,Central,Office Supplies,Paper,25.92,5,0.2,9.396,Second Class - Consumer
7606,2/2/2022,Second Class,Central,Furniture,Furnishings,419.68,5,0.6,-356.728,Second Class - Consumer
7607,10/11/2022,Second Class,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752,Second Class - Consumer
7608,2/5/2022,Second Class,Central,Technology,Phones,31.984,2,0.2,11.1944,Second Class - Consumer
7609,11/15/2022,Second Class,Central,Furniture,Tables,177.225,5,0.5,-120.513,Second Class - Consumer
7610,5/31/2022,Second Class,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308,Second Class - Consumer
7611,9/27/2022,Second Class,Central,Office Supplies,Art,7.408,2,0.2,1.2038,Second Class - Consumer
7612,1/16/2022,Second Class,Central,Furniture,Chairs,2001.86,7,0,580.5394,Second Class - Home Office
7613,11/30/2022,Second Class,Central,Office Supplies,Storage,166.72,2,0,41.68,Second Class - Home Office
7614,12/12/2022,Second Class,Central,Office Supplies,Paper,47.88,6,0,23.94,Second Class - Home Office
7615,4/10/2022,Second Class,Central,Office Supplies,Appliances,1503.25,5,0,496.0725,Second Class - Home Office
7616,8/11/2022,Second Class,Central,Office Supplies,Paper,25.92,4,0,12.4416,Second Class - Home Office
7617,12/30/2022,Second Class,West,Furniture,Chairs,321.568,2,0.2,28.1372,Second Class - Consumer
7618,3/6/2022,Standard Class,West,Office Supplies,Paper,7.61,1,0,3.5767,Standard Class - Consumer
7619,8/13/2022,Standard Class,West,Technology,Accessories,3347.37,13,0,636.0003,Standard Class - Consumer
7620,10/28/2022,First Class,East,Office Supplies,Storage,80.58,6,0,22.5624,First Class - Consumer
7621,10/4/2022,First Class,East,Office Supplies,Envelopes,361.92,4,0,162.864,First Class - Consumer
7622,10/31/2022,Standard Class,Central,Furniture,Furnishings,12.132,9,0.6,-8.4924,Standard Class - Corporate
7623,3/27/2022,Standard Class,Central,Office Supplies,Storage,82.368,2,0.2,-19.5624,Standard Class - Corporate
7624,11/29/2022,Standard Class,Central,Office Supplies,Storage,53.92,5,0.2,4.044,Standard Class - Corporate
7625,10/15/2022,Standard Class,Central,Technology,Phones,647.904,6,0.2,56.6916,Standard Class - Corporate
7626,12/16/2022,Second Class,East,Technology,Accessories,20.37,3,0,6.9258,Second Class - Consumer
7627,6/5/2022,Second Class,East,Office Supplies,Storage,221.55,3,0,6.6465,Second Class - Consumer
7628,7/29/2022,Second Class,East,Office Supplies,Binders,17.52,5,0.2,6.132,Second Class - Consumer
7629,11/2/2022,Standard Class,Central,Office Supplies,Appliances,1.624,2,0.8,-4.466,Standard Class - Corporate
7630,3/12/2022,Second Class,Central,Technology,Machines,3059.982,3,0.4,-509.997,Second Class - Corporate
